id_kriteria;id_alternatif;CEK;FROM;TO;BOBOT
1;1;FIX;;LAIN-LAIN;20
2;1;FIX;;TEKNIK ELEKTRONIKA;40
3;1;FIX;;TEKNIK TELEKOMUNIKASI;50
4;1;FIX;;TEKNIK INFORMATIKA;60
5;1;FIX;;TEKNOLOGI INFORMASI;70
6;2;FIX;;TIDAK ADA;20
7;2;FIX;;ADA PENGALAMAN;80
8;3;FIX;;WANITA;20
9;3;FIX;;LAKI-LAKI;80
10;4;RANGE;2.00;2.25;50
11;4;RANGE;2.26;3.00;60
12;4;RANGE;3.01;3.50;70
13;4;RANGE;3.51;4.00;80
14;5;RANGE;0;1500000;10
15;5;RANGE;1500001;2000000;50
16;5;RANGE;2000001;4000000;60
17;5;RANGE;4000001;6500000;70
18;5;RANGE;6500001;10000000;80
19;5;RANGE;10000001;999999999;100
